Date,Open,High,Low,Close,Volume
2003-07-08,214.00,215.75,211.00,214.00,44598288
2003-07-09,214.75,214.75,208.50,210.00,35881908
2003-07-10,210.00,212.00,207.00,210.00,46032144
2003-07-11,215.25,219.00,210.50,214.75,57434325
2003-07-14,216.25,220.75,215.00,220.00,21669374
2003-07-15,218.50,219.50,214.25,216.50,21908876
2003-07-16,217.50,218.75,212.00,212.50,36406953
2003-07-17,211.50,215.50,211.50,213.00,27587041
2003-07-18,212.00,219.25,212.00,217.00,34679656
2003-07-21,217.00,218.75,215.00,216.00,19056326
2003-07-22,217.00,217.50,215.25,217.50,18265705
2003-07-23,215.25,220.00,214.50,216.50,29689575
2003-07-24,214.50,226.75,214.50,226.75,46410716
2003-07-25,224.00,224.25,217.50,218.00,41236899
2003-07-28,219.75,222.00,217.00,219.25,15158720
2003-07-29,218.00,221.00,215.00,217.00,15709908
2003-07-30,217.75,218.00,214.50,217.00,18090709
2003-07-31,216.00,217.75,214.75,215.25,20164108
2003-08-01,215.75,216.50,211.25,211.25,29702886
2003-08-04,211.00,217.25,210.25,213.75,23916675
2003-08-05,216.50,218.00,212.25,216.00,33775673
2003-08-06,216.75,217.50,213.75,216.25,26516637
2003-08-07,216.25,219.50,215.50,219.00,39853733
2003-08-08,219.50,224.00,218.00,223.00,64017409
2003-08-11,223.00,224.00,219.75,220.50,12603233
2003-08-12,220.50,220.75,217.50,220.50,27443381
2003-08-13,221.00,222.50,218.75,219.75,21596453
2003-08-14,222.00,222.75,218.25,220.50,24381143
2003-08-15,219.50,222.50,214.25,218.00,36435595
2003-08-18,216.50,218.75,216.25,218.00,29506692
2003-08-19,217.00,220.50,217.00,218.00,31448431
2003-08-20,219.00,219.50,214.50,215.50,46090835
2003-08-21,215.50,221.00,215.50,216.00,41906829
2003-08-22,217.00,217.50,214.50,215.75,26473724
2003-08-26,215.25,216.75,212.50,214.00,38087934
2003-08-27,216.00,216.50,212.50,213.00,42109334
2003-08-28,213.00,216.25,211.75,213.00,49442323
2003-08-29,215.50,219.00,213.00,216.00,75643236
2003-09-01,218.00,221.25,217.50,219.00,50116088
2003-09-02,220.50,223.75,218.75,222.25,70461427
2003-09-03,223.75,223.75,220.75,221.50,38883881
2003-09-04,222.00,223.00,220.00,223.00,32952586
2003-09-05,223.50,224.50,221.00,223.75,40854861
2003-09-08,224.25,225.75,222.25,225.50,29485580
2003-09-09,225.75,226.00,222.50,224.00,37204829
2003-09-10,224.00,225.50,222.00,224.50,32846468
2003-09-11,225.00,226.25,222.50,224.50,33968447
2003-09-12,225.25,226.50,223.50,224.50,32901299
2003-09-15,224.25,228.75,224.25,228.50,41046334
2003-09-16,235.00,243.25,234.50,242.50,110997814
2003-09-17,247.00,247.00,240.25,241.00,72584505
2003-09-18,240.00,244.00,238.00,244.00,51487159
2003-09-19,245.00,245.75,240.75,242.50,53133739
2003-09-22,241.50,241.50,239.00,240.50,44874071
2003-09-23,241.25,244.25,240.50,243.25,44798846
2003-09-24,240.75,242.25,239.00,241.25,31397993
2003-09-25,239.00,239.75,233.50,235.00,39711298
2003-09-26,233.50,243.00,230.00,241.00,97632611
2003-09-29,240.75,245.50,239.50,239.50,64696464
2003-09-30,241.00,244.75,238.50,241.00,77002575
2003-10-01,241.00,243.00,237.00,238.00,85715909
2003-10-02,239.50,240.00,236.00,240.00,51131835
2003-10-03,240.00,243.00,239.25,242.50,47247787
2003-10-06,242.25,243.50,239.25,241.00,32643666
2003-10-07,242.00,244.50,238.00,244.50,38790562
2003-10-08,244.25,245.25,238.75,241.50,56385095
2003-10-09,242.25,243.00,240.50,242.75,40019329
2003-10-10,241.00,242.75,237.25,238.50,41195202
2003-10-13,239.25,240.00,236.00,238.75,51947062
2003-10-14,239.75,240.75,236.50,237.75,53899869
2003-10-15,239.25,239.25,235.25,235.50,68597693
2003-10-16,235.00,236.25,233.75,234.75,69017477
2003-10-17,234.50,239.75,233.75,239.25,59251913
2003-10-20,237.50,242.00,237.50,239.75,45945757
2003-10-21,240.75,241.50,236.00,237.75,41203276
2003-10-22,237.50,238.25,233.50,234.75,57915087
2003-10-23,235.00,235.00,233.00,234.75,58426037
2003-10-24,235.50,236.00,233.25,235.00,37440734
2003-10-27,236.00,237.25,234.50,237.25,38431629
2003-10-28,236.75,237.25,235.00,236.50,27162354
2003-10-29,238.25,238.25,235.50,237.25,45810164
2003-10-30,236.50,240.50,236.50,239.75,58327076
